epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,426.189,1.25698,0.78937,0.99606,0.60807,0.000330709,0.000330709,0.000330709
2,849.531,0.78333,0.84055,0.99016,0.49829,0.000650894,0.000650894,0.000650894
3,1267.49,0.68085,0.81496,0.99606,0.52569,0.000957879,0.000957879,0.000957879
4,1734.2,0.68061,0.82874,0.99803,0.45434,0.0009406,0.0009406,0.0009406
5,2226.37,0.6046,0.79724,0.99016,0.57781,0.0009208,0.0009208,0.0009208
6,2676.1,0.55041,0.83268,0.99606,0.46983,0.000901,0.000901,0.000901
7,3145.95,0.50958,0.88189,0.99606,0.39038,0.0008812,0.0008812,0.0008812
8,3645.75,0.49185,0.87402,0.99803,0.35169,0.0008614,0.0008614,0.0008614
9,4110.36,0.46821,0.89173,1,0.31394,0.0008416,0.0008416,0.0008416
10,4622.95,0.41227,0.88583,1,0.30426,0.0008218,0.0008218,0.0008218
11,5072.95,0.39931,0.89173,1,0.37262,0.000802,0.000802,0.000802
12,5523.16,0.34844,0.86417,1,0.42413,0.0007822,0.0007822,0.0007822
13,5980.38,0.33232,0.90157,0.99803,0.26067,0.0007624,0.0007624,0.0007624
14,6426.66,0.31644,0.92717,0.99803,0.25685,0.0007426,0.0007426,0.0007426
15,6864.18,0.29802,0.90157,1,0.29172,0.0007228,0.0007228,0.0007228
16,7300,0.25008,0.91535,1,0.27387,0.000703,0.000703,0.000703
17,7736.43,0.2533,0.91732,1,0.29332,0.0006832,0.0006832,0.0006832
18,8180.04,0.23518,0.90945,1,0.30528,0.0006634,0.0006634,0.0006634
19,8618.11,0.2093,0.90157,0.99803,0.2977,0.0006436,0.0006436,0.0006436
20,9057.34,0.23876,0.92717,0.99803,0.2332,0.0006238,0.0006238,0.0006238
21,9496.64,0.21965,0.90354,1,0.27518,0.000604,0.000604,0.000604
22,9928.57,0.19839,0.92126,1,0.24777,0.0005842,0.0005842,0.0005842
23,10364.9,0.1937,0.92323,1,0.22068,0.0005644,0.0005644,0.0005644
24,10798.3,0.16369,0.93504,1,0.20494,0.0005446,0.0005446,0.0005446
25,11228.7,0.14608,0.94094,1,0.20097,0.0005248,0.0005248,0.0005248
26,11664.1,0.1475,0.94094,0.99803,0.21954,0.000505,0.000505,0.000505
27,12097.4,0.14407,0.92717,1,0.23728,0.0004852,0.0004852,0.0004852
28,12533.4,0.14297,0.94685,1,0.20837,0.0004654,0.0004654,0.0004654
29,12968.7,0.13785,0.94291,1,0.18759,0.0004456,0.0004456,0.0004456
30,13400.2,0.11858,0.93701,0.99803,0.23761,0.0004258,0.0004258,0.0004258
31,13833.1,0.1198,0.93307,1,0.22677,0.000406,0.000406,0.000406
32,14264,0.09962,0.94291,1,0.20113,0.0003862,0.0003862,0.0003862
33,14700.9,0.09217,0.93701,1,0.17788,0.0003664,0.0003664,0.0003664
34,15124.8,0.07865,0.95079,1,0.17713,0.0003466,0.0003466,0.0003466
35,15546.3,0.07636,0.94882,1,0.20078,0.0003268,0.0003268,0.0003268
36,15963,0.08355,0.94488,0.99803,0.2119,0.000307,0.000307,0.000307
37,16379.9,0.06572,0.95276,1,0.18368,0.0002872,0.0002872,0.0002872
38,16793.5,0.07266,0.95866,1,0.17292,0.0002674,0.0002674,0.0002674
39,17211.1,0.05762,0.95472,1,0.17944,0.0002476,0.0002476,0.0002476
40,17628,0.0555,0.94882,1,0.20458,0.0002278,0.0002278,0.0002278
41,18050.4,0.06267,0.95276,0.99803,0.1995,0.000208,0.000208,0.000208
42,18471,0.05875,0.95472,1,0.17179,0.0001882,0.0001882,0.0001882
43,18893.9,0.05151,0.95276,1,0.17391,0.0001684,0.0001684,0.0001684
44,19317.3,0.0513,0.96063,1,0.15362,0.0001486,0.0001486,0.0001486
45,19766.4,0.03672,0.9626,1,0.15943,0.0001288,0.0001288,0.0001288
46,20185.2,0.04485,0.95866,1,0.16722,0.000109,0.000109,0.000109
47,20607,0.05317,0.96654,1,0.15915,8.92e-05,8.92e-05,8.92e-05
48,21028.8,0.03554,0.9626,1,0.15411,6.94e-05,6.94e-05,6.94e-05
49,21447.6,0.04169,0.96063,1,0.15819,4.96e-05,4.96e-05,4.96e-05
50,21865.9,0.03146,0.9626,1,0.1622,2.98e-05,2.98e-05,2.98e-05
