epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,141.083,1.23144,0.81693,0.99409,0.53984,0.000330709,0.000330709,0.000330709
2,253.84,0.67123,0.85236,0.99803,0.3883,0.000598302,0.000598302,0.000598302
3,358.892,0.56104,0.83071,1,0.48817,0.000799895,0.000799895,0.000799895
4,555.906,0.54491,0.8622,0.99606,0.40575,0.000703,0.000703,0.000703
5,1017.27,0.46585,0.88386,1,0.31132,0.000604,0.000604,0.000604
6,1158.7,0.39633,0.87992,0.99803,0.38261,0.000505,0.000505,0.000505
7,1260.7,0.32799,0.9252,1,0.22711,0.000406,0.000406,0.000406
8,1362.96,0.26518,0.90748,0.99803,0.26727,0.000307,0.000307,0.000307
9,1467.59,0.20086,0.92323,1,0.21677,0.000208,0.000208,0.000208
10,1568.8,0.18183,0.92717,1,0.19761,0.000109,0.000109,0.000109
